idx1,idx2,t_x,t_y,t_z,q_w,q_x,q_y,q_z
643,456,-4.3284934319736,-5.76281697543767,-0.74519599142,0.999709198802746,0.0168596885066202,0.000616225985072419,-0.0172304671488069
0,456,0.960934483080504,1.8221339090776,-0.174172942948,0.543717415764284,-0.00582557221576676,0.0111554518084263,-0.839173992922753
645,189,-0.666134774322387,4.30285330421818,-0.121591196312,0.765295644462435,0.00352529959341506,0.00844996765427172,0.643613818120963
2,458,0,0,0,1,0,0,0
189,270,0,0,0,1,0,0,0
646,189,0,0,0,1,0,0,0
3,273,0,0,0,1,0,0,0
189,273,0,0,0,1,0,0,0
273,458,0,0,0,1,0,0,0
647,635,0,0,0,1,0,0,0
179,192,0,0,0,1,0,0,0
191,635,0,0,0,1,0,0,0
459,635,0,0,0,1,0,0,0
648,461,0,0,0,1,0,0,0
191,274,0,0,0,1,0,0,0
649,178,0,0,0,1,0,0,0
6,178,0,0,0,1,0,0,0
7,178,0,0,0,1,0,0,0
177,274,0,0,0,1,0,0,0
192,446,0,0,0,1,0,0,0
275,462,0,0,0,1,0,0,0
650,177,0,0,0,1,0,0,0
8,193,0,0,0,1,0,0,0
177,463,0,0,0,1,0,0,0
275,633,0,0,0,1,0,0,0
651,9,0,0,0,1,0,0,0
9,176,0,0,0,1,0,0,0
176,276,0,0,0,1,0,0,0
195,445,0,0,0,1,0,0,0
277,464,0,0,0,1,0,0,0
652,175,0,0,0,1,0,0,0
9,196,0,0,0,1,0,0,0
176,196,0,0,0,1,0,0,0
277,465,0,0,0,1,0,0,0
653,278,0,0,0,1,0,0,0
11,279,0,0,0,1,0,0,0
174,466,0,0,0,1,0,0,0
278,442,0,0,0,1,0,0,0
465,630,0,0,0,1,0,0,0
654,467,0,0,0,1,0,0,0
12,442,0,0,0,1,0,0,0
197,442,0,0,0,1,0,0,0
442,467,0,0,0,1,0,0,0
655,467,0,0,0,1,0,0,0
172,281,0,0,0,1,0,0,0
199,468,0,0,0,1,0,0,0
656,468,0,0,0,1,0,0,0
200,282,0,0,0,1,0,0,0
13,201,0,0,0,1,0,0,0
201,282,0,0,0,1,0,0,0
658,470,0,0,0,1,0,0,0
16,470,0,0,0,1,0,0,0
659,17,0,0,0,1,0,0,0
17,203,0,0,0,1,0,0,0
660,204,0,0,0,1,0,0,0
204,285,0,0,0,1,0,0,0
661,286,0,0,0,1,0,0,0
662,288,0,0,0,1,0,0,0
165,287,0,0,0,1,0,0,0
663,288,0,0,0,1,0,0,0
165,289,0,0,0,1,0,0,0
664,20,0,0,0,1,0,0,0
20,290,0,0,0,1,0,0,0
207,290,0,0,0,1,0,0,0
290,477,0,0,0,1,0,0,0
208,291,0,0,0,1,0,0,0
23,478,0,0,0,1,0,0,0
211,292,0,0,0,1,0,0,0
669,26,0,0,0,1,0,0,0
26,481,0,0,0,1,0,0,0
670,213,0,0,0,1,0,0,0
213,482,0,0,0,1,0,0,0
27,483,0,0,0,1,0,0,0
672,29,0,0,0,1,0,0,0
29,296,0,0,0,1,0,0,0
297,484,0,0,0,1,0,0,0
673,301,0,0,0,1,0,0,0
30,300,0,0,0,1,0,0,0
31,299,0,0,0,1,0,0,0
32,298,0,0,0,1,0,0,0
216,300,0,0,0,1,0,0,0
217,485,0,0,0,1,0,0,0
218,487,0,0,0,1,0,0,0
300,485,0,0,0,1,0,0,0
674,33,0,0,0,1,0,0,0
674,302,0,0,0,1,0,0,0
31,303,0,0,0,1,0,0,0
33,219,0,0,0,1,0,0,0
33,488,0,0,0,1,0,0,0
34,302,0,0,0,1,0,0,0
218,303,0,0,0,1,0,0,0
219,489,0,0,0,1,0,0,0
221,299,0,0,0,1,0,0,0
300,489,0,0,0,1,0,0,0
675,32,0,0,0,1,0,0,0
675,487,0,0,0,1,0,0,0
676,489,0,0,0,1,0,0,0
678,36,0,0,0,1,0,0,0
33,490,0,0,0,1,0,0,0
35,490,0,0,0,1,0,0,0
222,303,0,0,0,1,0,0,0
679,36,0,0,0,1,0,0,0
35,491,0,0,0,1,0,0,0
223,491,0,0,0,1,0,0,0
680,306,0,0,0,1,0,0,0
37,306,0,0,0,1,0,0,0
224,492,0,0,0,1,0,0,0
681,307,0,0,0,1,0,0,0
38,492,0,0,0,1,0,0,0
307,493,0,0,0,1,0,0,0
38,494,0,0,0,1,0,0,0
307,494,0,0,0,1,0,0,0
39,227,0,0,0,1,0,0,0
40,309,0,0,0,1,0,0,0
685,497,0,0,0,1,0,0,0
42,310,0,0,0,1,0,0,0
686,43,0,0,0,1,0,0,0
42,230,0,0,0,1,0,0,0
44,311,0,0,0,1,0,0,0
687,230,0,0,0,1,0,0,0
688,231,0,0,0,1,0,0,0
231,313,0,0,0,1,0,0,0
689,233,0,0,0,1,0,0,0
690,47,0,0,0,1,0,0,0
